trip_id,agent_id,start_time,end_time,origin_node,destination_node,route_taken,trip_distance_km,trip_duration_min,average_speed_kmh
T000188,A1998890914000,06:00:00,06:14:30,5929352959,5929352959,"[5929352959, 5853820555, 281775663, 51992456, 51992462, 656480031, 1864614860, 52003613, 2932974908, 2000678549, 29796823, 3242724469, 28373623, 91357766, 4200802789, 29794154, 27195073, 27195069, 27195097, 27195111, 27195116, 243993451, 27195149, 27195160, 27195163, 27195188, 258117328, 29421277, 27195297, 270254393, 270254399, 29784515, 29269483, 29269480, 29269478, 562758412, 29269476, 29269477]",6.819986,14.5,28.22063172413793
T000019,A1998890775184,06:00:00,06:15:00,50808340,50808340,"[50808340, 50808206, 50808209, 286114918, 109817052, 286732504, 29858030, 29858029, 29858026, 2030570381, 59388414, 59388409, 29858024, 29858023, 282200122, 2328014808, 595368926, 12614635, 12614629, 587656935, 3088844303, 587656943, 29806609, 268224213, 1769691978, 29808283, 29808284, 29809366, 558563443, 4239050989, 449099355, 29881316, 1686976998, 31011873, 29879276, 29879278]",7.369563000000002,15.0,29.47825200000001
T000073,A1998850894416,06:00:00,06:16:50,309633932,309633932,"[309633932, 1426011206, 1425174739, 672912925, 29784672, 243993451, 27195149, 27195160, 27195163, 27195188, 258117328, 29421277, 27195297, 270254393, 270254399, 29784515, 29269483, 29269480, 29269478, 562758412, 29269476, 29269369, 29269381, 29269521, 16541701, 16541702, 12615161, 1093519531, 29420509, 29420503, 101212646, 2429294791, 101213421, 101213423, 343409879, 101213425, 1787991699, 293235486, 2721129357, 29778582, 29778583, 29778584, 29778585, 29778586]",6.413805000000001,16.833333333333332,22.861087128712875
T000249,A1998890925712,06:00:00,06:20:00,1552133003,1552133003,"[1552133003, 247636901, 1552142547, 1552142551, 1549598450, 1549598462, 6204020180, 30624386, 30624385, 29778886, 3116349935, 29778889, 2927118729, 2927110091, 3116630078, 29778887, 3116630074, 343275355, 29554331, 29778850, 281472982, 281472987, 29778855, 29420477, 2429294748, 29420476, 101213421, 286421590, 29420472, 12615171, 29420114, 6070903844, 29420145, 1380718885, 29420136, 29420137, 29420140, 16541698, 29420153, 29420152, 29420151, 2449742020, 29150076, 16541696, 29122654, 440880171, 29122653, 29422100, 29122652, 29422099, 29422098, 972501397, 27200073, 27200071, 28301054, 28301044, 28300996, 28300978, 28301013, 28300270, 28300261, 28300192, 28300202, 29058747, 28254757, 28253205, 28255855, 29187937, 28253191, 29187933]",9.081465,20.0,27.244394999999997
T000196,A1998890915536,06:00:00,06:20:30,29490306,29490306,"[29490306, 29489317, 29489342, 29489349, 2953566862, 65270042, 29189263, 29189267, 29189260, 29189259, 29189239, 28300261, 28300252, 28300272, 223826331, 28300986, 28300992, 27200069, 27200067, 27200060, 27200063, 29025740, 305244927, 29122648, 29122649, 2878654336, 1518839541, 29150075, 484136446, 29419190, 29419192, 29419193, 29419195, 335839627, 3836935347, 29419198, 16541699, 1839747262, 12615173, 16541701, 652987765, 29269522, 29269523, 293235491, 29269524, 16541705, 5896652502, 29269506, 29269509, 29269512, 29269511, 100084467, 29420745, 639306879, 4400079542, 61760013, 1402664705, 737215334, 737215337, 1406981674, 2476364026, 91401146, 30683636, 30683638, 30683582, 30683581, 30683642, 30683644, 30683616]",9.181699000000002,20.5,26.873265365853662
T000179,A1998890912272,06:00:00,06:25:40,3656890824,3656890824,"[3656890824, 101373692, 1591359081, 297091889, 1591359101, 257818028, 248079011, 248079015, 152428728, 95949972, 28253434, 28253342, 1615891653, 28253167, 28253102, 1337990181, 100150570, 100148221, 517480077, 244157497, 244157475, 244319651, 299745123, 96510600, 96514925, 270797408, 1209011882, 243347783, 305010260, 96516593, 3463835860, 20246160, 20246145, 29803511, 29803523, 29803502, 3464843970, 26960755, 20246141, 29785878, 1669237293, 26960756, 29804217, 1791505417, 598234401, 598234402, 288267826, 288268004, 288268136, 3577459651, 1822552903, 1679204655, 1228874845, 21487193, 1679204688, 28373623, 91357766, 4200802789, 29794154, 29794159, 29794158, 29794157]",12.464358,25.666666666666668,29.13746025974026
T000164,A1998849271632,06:00:00,06:25:50,29778870,29778870,"[29778870, 29778858, 51392220, 29778873, 343275355, 29554331, 29778850, 281472982, 281472987, 29778855, 29420477, 2429294748, 29420476, 101213421, 286421590, 29420472, 12615171, 29420114, 6070903844, 29420145, 1380718885, 29420136, 29420137, 29420140, 16541698, 335839627, 30304830, 29419167, 29419172, 3000294246, 61771109, 27484575, 1861798449, 343242451, 28794346, 29123144, 29123050, 1292283760, 92606373, 29123043, 3925729670, 3740694097, 29123042, 3095073329, 9515535055, 1837885853, 1837885819, 1837885812, 1837885781, 1837885779, 1837885734, 1957082051, 1837885687, 4363544518, 260658026, 51414522, 1803835422, 1803835418, 26703754, 1206735742, 1580769291, 2812123973, 26703747, 26703746, 2532286390, 2089428400, 26754288, 26754213, 26754340, 26703742, 26982632, 26982574, 4403506625, 31258106, 1131171656, 26703057, 26982286, 26705299, 1131171633, 1569732400, 28248871, 26703849, 325627540, 21487154, 26726700, 26726698, 26784369, 26784370, 26984894, 11135551463, 9255769385, 1929624605, 1929624603, 26736346, 26736335, 26736334]",10.754149,25.833333333333332,24.97737832258065
T000258,A1998936065616,06:00:00,06:26:20,1629676127,1629676127,"[1629676127, 1629676112, 271188885, 27431885, 204018205, 81477621, 30999214, 26729571, 27431879, 516459452, 27431848, 27431861, 1692810543, 3661361491, 11276832270, 444552281, 26906645, 29831327, 29831325, 319711973, 26906639, 26729654, 26906847, 26729624, 26917671, 1560557449, 26848789, 1560557456, 26729627, 26848785, 26848761, 26848718, 26848765, 26583821, 26840975, 618259635, 412209133, 237204812, 1953095288, 26805818, 26708530, 26708529, 26747666, 26747669, 26738414, 255561545, 26682626, 21487249, 255561543, 26731264, 255560916, 26627424, 26625325, 32531353, 26646231, 26662401, 26740542, 32531351]",7.627290000000001,26.333333333333332,17.37863544303798
T000126,A1998850885392,06:00:00,06:26:30,29207842,29207842,"[29207842, 266540993, 3168358968, 3168358972, 1349668349, 1349673594, 1475313873, 29207836, 29207861, 540765012, 3513423889, 28373972, 28373974, 3513423874, 3513423870, 21487224, 196725581, 29273080, 10312836355, 26960758, 26960757, 2886675072, 2884508640, 29271394, 2757332329, 28373650, 29271392, 29271693, 1822620447, 307495922, 29784947, 1455764578, 12614667, 444894685, 27459728, 20246250, 20246248, 12614651, 29785844, 964750391, 12614683, 598234402, 12614606, 922501071, 29796812, 2610687307, 2610687325, 471494010, 29804381, 696475027, 29806194, 29806195, 59368516, 12614678, 1769691978, 29808283, 29808284, 29809366, 558563443, 4239050989, 449099355, 29881316, 21509219, 73801994, 596595776, 286032150, 29884984, 31011932, 29884985, 291765160, 31011907, 291765169, 291765158, 31011904, 282832153, 303111940, 31011901, 31011974, 269886695, 8637010353, 31012053, 56427858, 164718945, 224215529, 10175179973, 259109804, 269877379, 269879509]",14.450894000000005,26.5,32.71900528301888
T000027,A1998890769616,06:00:00,06:26:50,29030461,29030461,"[29030461, 282763132, 26904696, 16541478, 26904555, 26904547, 26904552, 16541474, 16541469, 29272977, 26745974, 1092585666, 26745971, 26745970, 26745992, 501547016, 21487253, 26746007, 267286252, 26662407, 2314503838, 26662485, 26736280, 26736279, 26627385, 26805819, 26627383, 412209132, 26627401, 26583821, 26848765, 26848718, 26848761, 26848785, 26729627, 1560557456, 26848789, 1560557449, 26917671, 26906848, 26906634, 26906630, 351676075, 351687421, 29831326, 26906608, 26906614, 336583884, 336583915, 11276832269, 3661361491, 1692810543, 27431861, 27431848, 516459452, 27431879, 26729571, 30999214, 81477621, 204018205, 26729583, 1614392921, 30099386, 31174085, 150904023]",10.858540999999997,26.833333333333332,24.27996745341614
