trip_id,agent_id,start_time,end_time,origin_node,destination_node,route_taken,trip_distance_km,trip_duration_min,average_speed_kmh
T000247,A2729123809424,06:00:00,06:08:00,5948798214,5948798214,"[5948798214, 5948798216, 1532984315, 1310620180, 1310620177, 417978595, 417979070, 417979376, 614623610, 6898609741, 537827467, 568117147, 568117156, 568117164, 430763600, 537823321, 426881065, 537823729, 537823992, 426652636]",1.244653,8.0,9.3348975
T000260,A2729233767184,06:00:00,06:10:30,840736554,840736554,"[840736554, 2087205003, 2087205004, 2087205005, 2087205007, 330414541, 1116623856, 126763523, 692247924, 692263337, 7252348260, 7252348261, 7252348266, 1377806858, 693196406, 1377806906, 1377806863, 1377806827, 1377806846, 1378950924, 126781129, 690411249, 1375265147, 1000063825, 1000063814, 1000063812, 1000063828, 690411229, 540312576, 30251184, 30251185, 30251188, 30251189, 30251190, 30251191, 30294321, 30294191, 30294322, 533954389, 536838738, 30294324, 30294325, 530924816, 539147486]",3.9805129999999997,10.5,22.74578857142857
T000298,A2729233763920,06:00:00,06:12:20,1311619363,1311619363,"[1311619363, 11282471991, 5260740738, 1311619445, 1311619488, 1362899971, 1311619340, 1311619500, 364811899, 30237768, 30248584, 30313132, 30313182, 30313181, 30313179, 30313161, 30313142, 30313143, 30313122]",1.8518940000000004,12.333333333333334,9.009214054054056
T000290,A2729233769232,06:00:00,06:12:40,412449343,412449343,"[412449343, 412449344, 359100760, 30960627, 690812143, 30960642, 8530189630, 30554843, 126763485, 2509167399, 1357271844, 331355854, 1357271796, 331355856, 429350512, 583257391, 426883557, 366996302, 331355857, 1224389881, 412462146, 1454439253, 412464271, 9420716633, 412453127, 364669537, 904641358, 364669539, 364669543, 412458147, 364669544, 364669545, 412458358, 8384718808, 364669779, 412453976, 412457981, 376759381, 567474429, 567474427, 453549579, 567474424, 381009461, 1298740470, 1298740481, 1298742841, 1350170152, 1350171186, 1350170931, 1350170218, 1350171044, 1350170314]",5.0348049999999995,12.666666666666666,23.84907631578947
T000218,A2729273014480,06:00:00,06:13:10,1935827804,1935827804,"[1935827804, 1933546269, 1933546298, 1001441839, 8454360490, 1933546299, 1933546297, 1933546294, 1935827833, 1125604861, 1933546287, 376748008, 981699983, 1480306510, 2533347689, 615815435, 1295286769, 1295283770, 323158443, 412457946, 412457981, 376759381, 1279276755, 981747029, 981747078, 323190992, 981699961, 4471207535, 8127333287, 1771982098]",5.693461,13.166666666666666,25.944885569620254
T000226,A2729123814800,06:00:00,06:13:10,1938243778,1938243778,"[1938243778, 30243358, 3369034782, 559410532, 559410527, 559410528, 559410525, 30297370, 3005325720, 3005325716, 597933809, 3005325693, 3005325687, 597933816, 559424462, 559424463, 559424461, 559424460, 1122814756, 1297710575, 30558451, 7507211789, 1603753674, 7507211481, 33098965, 1303457162, 30253733, 1860575762, 30243337, 1860575763, 30243397]",2.6814000000000004,13.166666666666666,12.219037974683548
T000025,A2729234000400,06:00:00,06:13:20,905811222,905811222,"[905811222, 4538123409, 4538123405, 4538123400, 4538123399, 899314388, 2686522116, 1379023475, 803435608, 1193548761, 26057050, 178518958, 4908316180, 5164902089, 760332212, 760332221, 3049188195, 760332202, 2891400538, 5387890125, 3049188188, 1309411132, 3299255720, 760332214, 7037282909, 4709058060, 4549169095, 3621509845, 390227105, 390227092, 390227095, 390227097, 390227098, 126781115, 6985462292, 412437788, 2267504256]",2.9060880000000004,13.333333333333334,13.077396000000002
T000297,A2729233769296,06:00:00,06:15:00,30960820,30960820,"[30960820, 30960821, 412549130, 415950289, 415950287, 426884331, 415955414, 415955415, 415955417, 2463014352, 415956313, 415956317, 415956315, 9408480017, 415956314, 415956316, 415956323, 415956312, 2480495525, 2881600611, 7376904297, 690803404, 1695056489, 30254079, 30295259, 30254080, 30254081, 30254082, 30254083, 30254084, 30254085, 667410900, 30555974, 30243391, 30243332, 1303457341, 30254087, 879356690, 4436976528, 442540279, 30254089, 559794895, 8637567268, 243756418, 559794893, 506236275, 30242768, 219018792, 243339566, 2677447201, 2677447194, 6126749210, 243338885, 30312830, 381897080, 30312831, 1710758987, 30253208, 30312832, 506151644, 30312835, 365566117, 30312836, 30312837, 2473393790, 2473393788, 2473393793, 2473393756, 2473393744, 2473393709, 2473393679, 2473393657, 2473393641, 4549690551, 2473393700, 3048076938]",6.556825999999998,15.0,26.227303999999993
T000130,A2729123822672,06:00:00,06:15:30,420064842,420064842,"[420064842, 420064843, 415716575, 2983305742, 2482663903, 2983305741, 2456927924, 1230701452, 1291715885, 376751686, 376746258, 323158443, 412457946, 412457981, 376759381, 567474429, 567474427, 568648969, 1350171172]",6.369819999999999,15.5,24.657367741935477
T000054,A2729233990928,06:00:00,06:16:50,30254230,30254230,"[30254230, 30254229, 533663031, 209084274, 190993191, 1400693886, 194583692, 190981834, 11243529761, 21638922]",0.898953,16.833333333333332,3.2041889108910895
